timestamp,latitude,longitude,agency,complaint_type,descriptor,location_type,borough
1690371886,40.549697,-73.947333,DOHMH,Litter Basket Complaint,Double Parked Blocking Vehicle,Club/Bar/Restaurant,QUEENS
1706250626,40.680956,-74.066443,DPR,Emergency Response Team (Ert),Loud Music/Party,Building (Non-Residential),BRONX
1716077468,40.660659,-73.739589,DOB,Food Establishment,Derelict Vehicles,Public/Unfenced Area,BROOKLYN
1712415164,40.615889,-73.915904,DSNY,Litter Basket Complaint,Car/Truck Music,3+ Family Mixed Use Building,Unspecified
1689255565,40.902768,-74.129231,DCWP,Animal-Abuse,Sidewalk Zone Blocked,House Of Worship,BROOKLYN
1676968143,40.723495,-74.098497,HPD,Snow Or Ice,Used Car Dealer,Public/Unfenced Area,QUEENS
1698915294,40.542548,-73.846342,NYPD,Emergency Response Team (Ert),Plumbing-Defective/Leaking/Not Maintained,Curb,BROOKLYN
1725278490,40.585502,-73.899705,NYPD,Paint/Plaster,Graffiti,1-2 Family Dwelling,BRONX
1684969629,40.711361,-73.864741,DPR,Street Sign - Dangling,Hotel Or Motel,Hallway,BROOKLYN
1693696041,40.786206,-74.158345,DOHMH,Maintenance Or Facility,"Clothing, Shoe, Or Accessories Store",1-2 Family Dwelling,Unspecified
1704399113,40.679727,-74.238545,DOE,Bike/Roller/Skate,Day Care Facility,1-2 Family Dwelling,STATEN ISLAND
1696181159,40.907207,-73.929263,DPR,Electric,Ped Lamp,Bus Stop Shelter,BRONX
1727506423,40.507304,-73.875975,DOE,Water Conservation,Electric/Gas Range,Store/Commercial,STATEN ISLAND
1683776830,40.817097,-73.823609,DEP,Food Poisoning,Wall,OTHER,QUEENS
1705476959,40.808622,-73.705614,DOE,Sanitation Worker Or Vehicle Complaint,Planted More Than 2 Years Ago,House And Store,MANHATTAN
1703335442,40.505696,-74.056055,NYPD,Graffiti,Rain Garden Debris (Girgd),Taxi,QUEENS
1680116467,40.613374,-73.96438,NYC311-PRD,Air Quality,Commercial Overnight Parking,Residential,BROOKLYN
1716798564,40.917517,-74.053543,DCWP,Electric,Sign,Residential Building,MANHATTAN
1686394263,40.812633,-74.143387,DOT,Rodent,Car/Truck Music,House Of Worship,Unspecified
1718102799,40.728865,-73.748185,DSNY,Day Care,Food Contaminated,Park,MANHATTAN
1698790525,40.747442,-73.730103,DOE,For Hire Vehicle Complaint,Detached Trailer,3+ Family Apt. Building,STATEN ISLAND
1707451025,40.794771,-73.791206,DEP,Litter Basket Complaint,Out Of Order,Street/Sidewalk,MANHATTAN
1691903969,40.54628,-74.245416,NYC311-PRD,Commercial Disposal Complaint,Parking Permit Improper Use,Club/Bar/Restaurant,STATEN ISLAND
1691996125,40.761994,-73.884624,DOE,New Tree Request,Graffiti,Alley,MANHATTAN
1673595588,40.69062,-74.130471,TLC,Overgrown Tree/Branches,Chained,3+ Family Mixed Use Building,QUEENS
1693072533,40.502138,-74.056259,TLC,Abandoned Bike,Bell/Buzzer/Intercom,House And Store,BROOKLYN
1696051947,40.869063,-73.818105,DSNY,School Maintenance,With License Plate,Street/Curbside,BROOKLYN
1678320794,40.799543,-74.171546,NYPD,Derelict Vehicles,Noise: Construction Equipment (Nc1),Subway,BRONX
1692064593,40.59192,-73.989752,DOHMH,Electric,Tree Trunk Split,Yard,QUEENS
1700906942,40.667628,-73.75271,DOE,Food Poisoning,Snow Removal Requested,Mixed Use,BROOKLYN
1710392399,40.683043,-73.768237,OOS,Outside Building,Chronic Stoplight Violation,Common Area,MANHATTAN
1681655252,40.674851,-74.140262,DOE,Bike/Roller/Skate Chronic,Hitting Building,Street/Sidewalk,Unspecified
1703496746,40.729249,-74.043219,TLC,Litter Basket Complaint,Bulky Trash,Business,STATEN ISLAND
1702204696,40.791536,-73.972902,NYC311-PRD,Street Condition,Leak (Use Comments) (Wa2),Restaurant/Bar/Deli/Bakery,MANHATTAN
1701249592,40.695952,-73.721204,DPR,Animal In A Park,Sewage Odor,3+ Family Apartment Building,QUEENS
1678483568,40.81746,-73.911635,DOE,Unleashed Dog,Equipment,Subway,STATEN ISLAND
1697588265,40.553455,-73.951202,HPD,Food Establishment,Bike Signal,Public/Unfenced Area,BROOKLYN
1699590188,40.781433,-73.995456,OOS,Noise - Park,Overflowing Dumpster,3+ Family Mixed Use Building,BRONX
1676219568,40.613473,-73.707605,DEP,Graffiti,Snow Or Ice,Building (Non-Residential),MANHATTAN
1710495464,40.702217,-74.067781,DCWP,Bus Stop Shelter Complaint,Waste Left In Front Of Other Residence,Subway,Unspecified
1706829808,40.810533,-74.220839,DOB,Noise - Park,Clothing/Glasses,Street/Curbside,Unspecified
1705788532,40.557289,-73.757721,NYC311-PRD,Wood Pile Remaining,Congestion/Gridlock,Mixed Use,Unspecified
1693412730,40.80204,-73.734908,OOS,New Tree Request,Storage Warehouse,Common Area,BRONX
1677055027,40.500015,-73.917915,DEP,Noise - Park,Bulky Trash,Hallway,BROOKLYN
1679502149,40.698972,-73.792,DPR,Illegal Tree Damage,Bin Not Used,Bus Stop Shelter,MANHATTAN
1699698583,40.703162,-74.148776,DOB,Water Leak,Rodents/Insects/Garbage,House And Store,STATEN ISLAND
1718271841,40.684435,-73.888012,DEP,Litter Basket Complaint,Coin Or Card Did Not Register,Yard,BRONX
1684951445,40.559508,-73.840471,DOB,Damaged Tree,Power Outage,Street,BROOKLYN
1704503649,40.701796,-74.090803,DEP,Overgrown Tree/Branches,Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,Park/Playground,Unspecified
1691016307,40.664299,-73.866291,DEP,Missed Collection,"Noise, Barking Dog (Nr5)",Residential Building,BROOKLYN
1674426279,40.619037,-74.18393,DOT,Abandoned Vehicle,Signage Missing,Mixed Use,BRONX
1715841731,40.773177,-73.888545,DPR,Appliance,Laundromat,Business,QUEENS
1731767684,40.803687,-74.097703,DHS,Homeless Person Assistance,Post,Stairwell,BROOKLYN
1695959058,40.879071,-73.961219,DSNY,Bike Rack,Dead Branches In Tree,Club/Bar/Restaurant,MANHATTAN
1716568144,40.802068,-74.06339,NYPD,Wood Pile Remaining,Chronic Stoplight Violation,House Of Worship,Unspecified
1692878480,40.88786,-74.212484,TLC,Root/Sewer/Sidewalk Condition,Pet/Animal,Private School,QUEENS
1713206554,40.776768,-73.933179,DSNY,Traffic Signal Condition,Tortured,Store/Commercial,MANHATTAN
1681234561,40.793063,-73.926131,HPD,Heat/Hot Water,Site Conditions Endangering Workers,UNKNOWN,QUEENS
1677083744,40.51887,-73.781383,DHS,Drug Activity,Bulky Trash,Building (Non-Residential),QUEENS
1735244576,40.785315,-74.071987,DOB,Traffic,Ventilation System,Hallway,BRONX
1732933373,40.869917,-73.84951,DOT,Street Sweeping Complaint,"Noise, Other Animals (Nr6)",Alley,BRONX
1713613357,40.605203,-74.22942,NYPD,Bike/Roller/Skate,Non-Food Vendor,Park/Playground,STATEN ISLAND
1714914626,40.853085,-73.742047,DOHMH,Broken Parking Meter,Underground,Residential Building/House,QUEENS
1681489217,40.915326,-73.934421,DOB,Derelict Vehicles,Fence - None/Inadequate,Sidewalk,QUEENS
1718105986,40.620158,-74.139344,DHS,Litter Basket Complaint,Recycling - Paper/Metal/Glass/Rigid Plastic,Common Area,BRONX
1711613803,40.510182,-73.722092,DEP,Dirty Condition,Bag/Wallet,Business,BRONX
1696678930,40.825242,-73.937438,TLC,Bike/Roller/Skate,Janitor/Super,Commercial Building,Unspecified
1721537134,40.902252,-73.849444,DSNY,Noise,Detached Trailer,Curb,STATEN ISLAND
1728086867,40.698968,-74.056342,HPD,Non-Residential Heat,Chronic Speeding,Alley,QUEENS
1701239027,40.762698,-73.769313,HPD,Bike/Roller/Skate Chronic,Chemical Odor (Hd1),Store/Commercial,MANHATTAN
1679321357,40.54953,-74.123185,HPD,Noise - Vehicle,Inadequate Or No Heat,3+ Family Apartment Building,BROOKLYN
1727667575,40.895059,-73.74275,DOE,Illegal Posting,Unlicensed Vendors,Park,BRONX
1731097827,40.866019,-73.717537,DEP,Noise - Street/Sidewalk,Sidewalk Zone Blocked,Hallway,STATEN ISLAND
1735081846,40.756724,-74.078268,HPD,Best/Site Safety,Rodents/Insects/Garbage,Bus Stop Shelter,STATEN ISLAND
1704156045,40.893509,-73.708286,NYC311-PRD,Animal In A Park,Asbestos Complaint (B1),OTHER,QUEENS
1690056634,40.584215,-73.761585,DCWP,Cannabis Retailer,Door,Street/Curbside,Unspecified
1694668896,40.888153,-73.885165,DCWP,Dumpster Complaint,Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,Alley,STATEN ISLAND
1733237347,40.756201,-73.790748,OOS,Animal-Abuse,Lamppost Damaged,Alley,QUEENS
1712690207,40.810502,-73.73885,DSNY,Mold,Chemical Spill/Release (Ha1),House Of Worship,Unspecified
1675350389,40.543706,-73.976872,DOB,Safety,Lamppost Wire Exposed,Residential Building,QUEENS
1692911260,40.828248,-73.767953,DOB,Air Quality,Bin Not Used,3+ Family Apartment Building,BROOKLYN
1708397806,40.755418,-74.041336,NYC311-PRD,Street Sign - Dangling,"Air: Odor/Fumes, Vehicle Idling (Ad3)",Street/Curbside,QUEENS
1676048284,40.662592,-74.042525,DHS,Litter Basket Complaint,Unlicensed,Residential Building,STATEN ISLAND
1681794817,40.548545,-74.185104,HPD,Illegal Fireworks,Landlord Or Real Estate Agent,Common Area,MANHATTAN
1701843885,40.885589,-74.119006,DEP,Overgrown Tree/Branches,After Hours - Licensed Est,Gutter,QUEENS
1722711444,40.816079,-73.805746,DSNY,Obstruction,Bathtub/Shower,1-2 Family Dwelling,Unspecified
1689321208,40.841301,-74.207864,DHS,Litter Basket Request,Debris From Car Accident,Lobby,BRONX
1693629831,40.64686,-73.889635,DOB,Food Establishment,Chemical Spill/Release (Ha1),Taxi,QUEENS
1704674304,40.776185,-73.888875,DEP,Electrical,Rodent Sighting,Curb,QUEENS
1719878074,40.808792,-74.053673,TLC,Drinking,OTHER,Mixed Use,MANHATTAN
1724908099,40.73159,-73.772066,DOB,Noise - Residential,Food Source/Protection,Mobile Food Vendor,Unspecified
1708883225,40.711447,-74.220301,DOT,Special Projects Inspection Team (Spit),Storage Area Not Provided,Sidewalk,MANHATTAN
1677813627,40.585493,-74.174578,DSNY,Drug Activity,Hotel Or Motel,Street/Curbside,BROOKLYN
1680786682,40.656404,-73.800991,DHS,Animal-Abuse,Elevator - Single Device On Property/No Alternate Service,Residential Building/House,Unspecified
1723833255,40.69058,-74.187169,DPR,Water Leak,Bag/Wallet,House Of Worship,MANHATTAN
1712025328,40.661354,-73.795052,DEP,Best/Site Safety,For One Address,UNKNOWN,QUEENS
1705792079,40.507916,-74.039577,DPR,Appliance,Dust From Construction,Curb,QUEENS
1684925872,40.777169,-73.957129,NYC311-PRD,For Hire Vehicle Complaint,Asbestos Complaint (B1),Street,MANHATTAN
1735445230,40.510917,-73.915193,DOHMH,Water Conservation,Food Contains Foreign Object,Subway,BROOKLYN
1723367536,40.511485,-73.850818,HPD,Litter Basket Complaint,Noise: Alarms (Nr3),3+ Family Mixed Use Building,BRONX
1709680142,40.663006,-73.853287,NYC311-PRD,Flooring/Stairs,Remove Debris,Restaurant/Bar/Deli/Bakery,QUEENS
1710975906,40.802072,-73.827043,DOE,Curb Condition,Manhole Cover Missing (Emergency) (Sa3),Restaurant/Bar/Deli/Bakery,Unspecified
1734602158,40.600055,-73.750758,DOE,Unsanitary Condition,Trespassing,House Of Worship,BRONX
1689321893,40.823962,-74.087296,HPD,Illegal Tree Damage,"Barber Shop, Beauty Salon, Or Nail Salon",UNKNOWN,MANHATTAN
1696822131,40.612874,-74.112218,NYC311-PRD,Urinating In Public,Working Contrary To Stop Work Order,Taxi,BRONX
1680891262,40.628896,-73.886573,TLC,Elevator,Debris - Falling Or In Danger Of Falling,Residential Building/House,QUEENS
1673707947,40.684762,-73.993458,DOHMH,Mold,Street Light Lamp Missing,Street/Curbside,BROOKLYN
1699970612,40.524606,-73.733641,DOE,Plumbing,"Rough, Pitted Or Cracked Roads",Mobile Food Vendor,BRONX
1702106595,40.575518,-73.828713,DOE,Elevator,Plumbing-Defective/Leaking/Not Maintained,Business,BROOKLYN
1714850479,40.573288,-73.770818,NYC311-PRD,Asbestos,Elevator - Multiple Devices On Property,Bus Stop Shelter,Unspecified
1675133010,40.577387,-73.971304,DPR,Outside Building,Hydrant Running (Wc3),3+ Family Apt. Building,STATEN ISLAND
1720690260,40.59574,-73.726563,DOE,Electrical,"Air: Odor/Fumes, Restaurant (Ad2)",Park,STATEN ISLAND
1720754792,40.518788,-74.120917,DEP,Bike/Roller/Skate,Poster Or Sign,Residential Building/House,BRONX
1706844213,40.532529,-74.137777,HPD,Illegal Fireworks,Trees And Sidewalks Program,Residential,BRONX
1715625509,40.67912,-74.094304,DCWP,General Construction/Plumbing,Squirrel,Park/Playground,MANHATTAN
1699938847,40.876905,-74.043906,DOE,Real Time Enforcement,Aps,Comercial,MANHATTAN
1675542965,40.622167,-74.167465,HPD,Animal In A Park,Car/Truck Horn,Taxi,BROOKLYN
1726775458,40.631504,-73.856328,NYPD,Noise - House Of Worship,Signage Missing,Park,BROOKLYN
1697972701,40.848905,-74.23207,NYPD,Consumer Complaint,Manhole Cover Missing (Emergency) (Sa3),Apartment,BRONX
1735330741,40.916774,-73.939029,HPD,Residential Disposal Complaint,Roofing,Residential,STATEN ISLAND
1721743061,40.550922,-73.766836,OOS,Asbestos,Squirrel,School,Unspecified
1707744314,40.718541,-74.075683,DOB,Water Leak,Sidewalk Zone Blocked,Lobby,BROOKLYN
1694606843,40.602091,-73.827796,DOHMH,Drug Activity,Outlet/Switch,Mobile Food Vendor,Unspecified
1680294698,40.791091,-74.005246,DOT,Illegal Dumping,Branch Or Limb Has Fallen Down,Park,STATEN ISLAND
1706482357,40.532106,-74.050737,DPR,Panhandling,Electrical Wiring Defective/Exposed,Residential Building/House,QUEENS
1687968354,40.739124,-73.795269,DHS,Noise - Street/Sidewalk,Excessive Water In Basement (Wefb),Residential,Unspecified
1711791466,40.779679,-73.91695,OOS,Flooring/Stairs,Janitor/Super,Mobile Food Vendor,BRONX
1678018972,40.671571,-73.972236,DHS,Outdoor Dining,Plumbing-Defective/Leaking/Not Maintained,Yard,BROOKLYN
1732938619,40.575565,-74.000262,DHS,Bus Stop Shelter Complaint,"Noise, Ice Cream Truck (Nr4)",House And Store,STATEN ISLAND
1720289229,40.890653,-73.84143,DHS,Animal-Abuse,Noise: Construction Before/After Hours (Nm1),3+ Family Apartment Building,Unspecified
1683752060,40.915772,-74.177192,TLC,Noise - Residential,Merchandise,Residential Building,MANHATTAN
1681102425,40.668973,-73.943683,NYPD,Food Establishment,Catch Basin Sunken/Damaged/Raised (Sc1),OTHER,MANHATTAN
1712242616,40.755678,-74.190726,NYPD,Appliance,"Bodega, Deli, Or Convenience Store",Park,QUEENS
1733663512,40.671727,-74.002635,TLC,Litter Basket Complaint,Graffiti Or Vandalism,School,Unspecified
1681582424,40.808046,-73.851961,HPD,Vendor Enforcement,Pothole,Apartment,BROOKLYN
1732651843,40.503269,-73.923823,NYC311-PRD,Safety,Out Of Order,Private School,MANHATTAN
1701982278,40.574223,-73.852607,DOE,Traffic,Bulky Trash,Gutter,MANHATTAN
1705653564,40.643269,-73.939728,DSNY,Outside Building,Pothole,Residential Building,MANHATTAN
1694211946,40.661308,-73.833485,DHS,Appliance,Wall,Curb,QUEENS
1707387758,40.616868,-73.766229,DOHMH,Boilers,Lamppost Damaged,Lobby,BROOKLYN
1680505028,40.620894,-73.98235,DOB,Damaged Tree,Graffiti,House And Store,STATEN ISLAND
1723113635,40.54457,-74.122579,DOE,Commercial Disposal Complaint,Bulky Trash,Curb,STATEN ISLAND
1728839443,40.713653,-74.157131,HPD,Appliance,Restaurant Status,Street,BROOKLYN
1672996487,40.705114,-73.797681,DOHMH,Dirty Condition,Garbage Or Litter,Street/Sidewalk,QUEENS
1721678889,40.686826,-74.180602,DPR,Food Establishment,Carbon Monoxide Detector,Bus Stop Shelter,QUEENS
1732200910,40.681552,-74.105319,TLC,Cannabis Retailer,For One Address,Bus Stop Shelter,MANHATTAN
1726480640,40.533208,-73.813674,NYPD,Bike/Roller/Skate,Illegal. Commercial Use In Resident Zone,Comercial,STATEN ISLAND
1695053296,40.615965,-73.903157,DSNY,Sewer,"Bodega, Deli, Or Convenience Store",Mobile Food Vendor,BRONX
1701632680,40.542184,-73.862193,DSNY,General,Detached Trailer,Street/Curbside,Unspecified
1728761935,40.868581,-74.2304,NYC311-PRD,Residential Disposal Complaint,Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,Hallway,BROOKLYN
1711898037,40.658008,-73.731261,NYC311-PRD,Derelict Vehicles,Food Contaminated,School,BROOKLYN
1705063925,40.841825,-73.846542,DOE,Bus Stop Shelter Placement,Dog,Yard,BRONX
1707197924,40.860006,-73.837805,DCWP,Litter Basket Complaint,Blocked Sidewalk,Sidewalk,STATEN ISLAND
1713567291,40.58759,-74.152037,DOT,Smoking Or Vaping,Food Contains Foreign Object,UNKNOWN,QUEENS
1714896663,40.745238,-73.899257,DPR,Noise - Residential,Toilet,Commercial Building,MANHATTAN
1728967075,40.597395,-74.089336,DPR,New Tree Request,Street Flooding (Sj),Public/Unfenced Area,STATEN ISLAND
1696515645,40.728234,-74.087521,DOB,Building/Use,Weeds Or Grass,Lobby,QUEENS
1702558466,40.636667,-73.88567,DEP,Day Care,Paper License Plates,Mobile Food Vendor,Unspecified
1680168491,40.645983,-74.031051,DHS,Traffic Signal Condition,Pet/Animal,Sidewalk,STATEN ISLAND
1700198247,40.788633,-74.234071,DOE,Noise - Commercial,Driver Complaint - Non Passenger,Residential,BRONX
1710281649,40.824155,-74.106117,DOHMH,Indoor Sewage,Multiple Street Lights Out,Residential Building/House,QUEENS
1699304129,40.609494,-74.219952,DPR,Street Sign - Damaged,Drug Store Or Pharmacy,OTHER,Unspecified
1727479455,40.519164,-74.0038,DOB,Outdoor Dining,Curb Defect-Metal Protruding,Street,BROOKLYN
1724864049,40.76262,-73.728667,HPD,Plumbing,In Public,Business,STATEN ISLAND
1708772371,40.508366,-73.852774,OOS,Illegal Parking,Building Permit - None,OTHER,MANHATTAN
1724011098,40.821725,-74.215094,DCWP,Noise - Park,Double Parked Blocking Traffic,Park/Playground,STATEN ISLAND
1685866270,40.913791,-73.789018,DOT,Street Condition,Electrical Wiring Defective/Exposed,Lobby,BROOKLYN
1733662140,40.65703,-74.022633,DSNY,Street Sign - Damaged,Failure To Maintain,1-2 Family Dwelling,BRONX
1729288534,40.508412,-73.732805,DEP,Noise - Commercial,New Bus Stop Shelter Placement,Sidewalk,BRONX
1683081634,40.618898,-74.236666,NYC311-PRD,Traffic,UNKNOWN,Hallway,BRONX
1690833563,40.814964,-73.802852,DOT,Safety,No Certificate Of Occupancy/Illegal/Contrary To Co,Business,Unspecified
1731378282,40.613399,-74.203296,DEP,Noise - Commercial,Veh Signal Lamp,Residential,BRONX
1673538504,40.811914,-73.952066,DHS,Boilers,Wall,Subway,QUEENS
1685587383,40.849218,-73.777383,OOS,General Construction/Plumbing,Noise: Air Condition/Ventilation Equipment (Nv1),Stairwell,Unspecified
1674121691,40.626905,-73.997602,DEP,Elevator,Tobacco Sales,Street/Sidewalk,QUEENS
1697821104,40.62232,-74.198816,DOT,Non-Residential Heat,For One Address,School,MANHATTAN
1733461617,40.795209,-73.971374,DOT,Air Quality,Police Report Not Requested,Public/Unfenced Area,MANHATTAN
1723733156,40.729564,-74.190433,DOB,Outdoor Dining,"Air: Smoke, Vehicular (Aa4)",Public/Unfenced Area,BROOKLYN
1702552585,40.655325,-73.940266,NYC311-PRD,For Hire Vehicle Complaint,Inadequate Sweeping,Club/Bar/Restaurant,Unspecified
1678161819,40.540063,-74.156909,TLC,New Tree Request,Smoking,Hallway,BRONX
1682033733,40.669342,-73.789061,DSNY,Street Light Condition,Sidewalk Collapsed,Gutter,BRONX
1724049111,40.707235,-74.023478,NYPD,Hazardous Materials,Condition Attracting Rodents,3+ Family Apt. Building,MANHATTAN
1718787046,40.737431,-74.026406,DCWP,Emergency Response Team (Ert),Unauthorized Bus Layover,Curb,STATEN ISLAND
1725880331,40.705265,-73.975101,NYC311-PRD,Dumpster Complaint,Illegal Conversion Of Residential Building/Space,Restaurant/Bar/Deli/Bakery,Unspecified
1704962535,40.716061,-73.777741,NYPD,Bike/Roller/Skate Chronic,Car Wash,Residential Building,Unspecified
1677750435,40.657788,-73.833712,DHS,Noise - Park,Water Meter Broken/Leaking - Other (Cmo),Bus Stop Shelter,BROOKLYN
1685794316,40.683793,-73.715446,DCWP,Lead,Plumbing-Defective/Leaking/Not Maintained,Comercial,Unspecified
1726447927,40.720327,-74.173074,TLC,Non-Emergency Police Matter,"Noise, Ice Cream Truck (Nr4)",Public/Unfenced Area,BRONX
1692463824,40.549385,-73.702341,NYPD,Sewer,Food Temperature,Store/Commercial,MANHATTAN
1713827894,40.873609,-73.939904,DHS,Commercial Disposal Complaint,Graffiti Or Vandalism,Store/Commercial,Unspecified
1686270401,40.837182,-73.726403,DOHMH,Noise - Park,Sprinkler,House And Store,QUEENS
1703612562,40.588459,-74.068403,NYPD,Street Light Condition,Chronic Dumping,Comercial,STATEN ISLAND
1720537502,40.848351,-74.244598,DOT,Day Care,Compost,School,BRONX
1672925172,40.630973,-74.146779,NYPD,Boilers,Restaurant,Restaurant/Bar/Deli/Bakery,MANHATTAN
1678905387,40.525665,-73.992218,DHS,Bike Rack,Lamppost Wire Exposed,Yard,STATEN ISLAND
1731829357,40.594932,-73.904148,DOB,Encampment,Garbage/Recycling Storage,Residential Building,STATEN ISLAND
1721493245,40.628415,-73.906524,DOT,Electrical,Sewer Backup (Use Comments) (Sa),Street,Unspecified
1716798608,40.585087,-73.924048,DEP,Street Sign - Damaged,Driver Complaint - Non Passenger,House Of Worship,BROOKLYN
1690194644,40.736737,-74.180313,DSNY,Overgrown Tree/Branches,Structure - Outdoors,Private School,MANHATTAN
1711180800,40.824231,-73.924307,DOE,Urinating In Public,Wall/Retaining Wall - Bulging/Cracked,UNKNOWN,Unspecified
1733566575,40.698831,-74.157545,OOS,Drug Activity,Driver Complaint - Non Passenger,Apartment,STATEN ISLAND
1682380088,40.5602,-73.988495,DCWP,General Construction/Plumbing,Branch Cracked And Will Fall,3+ Family Mixed Use Building,BROOKLYN
1706889158,40.839038,-74.016027,DPR,General Construction/Plumbing,Hitting Power Lines,Stairwell,BRONX
1688707195,40.735261,-74.04248,DOT,Special Projects Inspection Team (Spit),Ped Multiple Lamps,Park,MANHATTAN
1728830010,40.719234,-73.958123,HPD,Water Leak,Drag Racing,Comercial,Unspecified
1728491480,40.616649,-74.171414,DOT,Non-Residential Heat,Non-Food Vendor,Sidewalk,Unspecified
1725495748,40.605226,-74.183868,DOT,Safety,Lamppost Knocked Down,Commercial Building,BRONX
1730674766,40.653589,-73.993658,NYC311-PRD,Heat/Hot Water,Vehicle Signal,Residential Building,BROOKLYN
1713953637,40.735113,-73.701155,DOB,Illegal Parking,Loud Television,Commercial Building,Unspecified
1673265414,40.582251,-74.051455,DOB,Abandoned Bike,Site Setup Condition,Mixed Use,MANHATTAN
1678864713,40.882637,-73.746306,DSNY,Abandoned Vehicle,Squirrel,House Of Worship,BRONX
1715983272,40.61548,-73.986696,DCWP,Snow Or Ice,Unlicensed Vendors,House And Store,MANHATTAN
1714510387,40.524035,-73.9353,DCWP,Street Condition,Ped Lamp,Taxi,Unspecified
1703048884,40.705926,-73.989603,TLC,Root/Sewer/Sidewalk Condition,Water Meter Broken/Leaking - Private Residence (Cmr),Street,BRONX
1675112328,40.655204,-73.912894,NYPD,Consumer Complaint,Unsafe Driving,Commercial Building,BROOKLYN
1678107466,40.67622,-73.784808,DCWP,Litter Basket Request,Street Light Lamp Missing,3+ Family Mixed Use Building,MANHATTAN
1679090667,40.860314,-74.097387,TLC,Dead/Dying Tree,Tobacco Sales,UNKNOWN,Unspecified
1673668203,40.639719,-73.880405,DOHMH,Special Projects Inspection Team (Spit),Damp Spot,Subway,Unspecified
1697128262,40.716863,-73.7327,DOT,Investigations And Discipline (Iad),Trash,3+ Family Mixed Use Building,BRONX
1685497179,40.84652,-73.974161,NYPD,Emergency Response Team (Ert),Broken Curb,Commercial Building,QUEENS
1675536110,40.615721,-74.140724,DSNY,Indoor Sewage,Dead Animal,Yard,Unspecified
1729063186,40.851901,-74.248227,DOE,Non-Residential Heat,Lamppost Wire Exposed,Bus Stop Shelter,MANHATTAN
1703838860,40.738633,-73.867039,HPD,Missed Collection,"Building - Vacant, Open And Unguarded",Bus Stop Shelter,BRONX
1684796632,40.806411,-74.147888,HPD,Residential Disposal Complaint,Air: Other Air Problem (Use Comments) (Azz),Comercial,BRONX
1687147112,40.767937,-73.996808,NYPD,Electric,Hours Of Operation,Common Area,Unspecified
1723272263,40.810006,-74.079232,DOT,Special Projects Inspection Team (Spit),Gas Hook-Up/Piping - Illegal Or Defective,Commercial Building,MANHATTAN
1681973034,40.737317,-74.022309,TLC,Dead/Dying Tree,Food Vendor,Common Area,BROOKLYN
1692341774,40.608929,-74.008221,DEP,New Tree Request,Laundromat,Subway,MANHATTAN
1695960744,40.824396,-73.962326,TLC,Residential Disposal Complaint,Trunk Damaged,Comercial,BRONX
1728566592,40.745794,-74.164363,HPD,Dirty Condition,Unlicensed,Residential Building,MANHATTAN
1715902061,40.840581,-73.812051,DOB,Hazardous Materials,Unleashed Dog In Public,Stairwell,STATEN ISLAND
1728240006,40.812115,-74.102077,DSNY,Traffic,Double Parked Blocking Traffic,House And Store,BROOKLYN
1703935223,40.609555,-73.742944,DSNY,Sanitation Worker Or Vehicle Complaint,Street Light Cycling,Commercial Building,QUEENS
1681932044,40.696244,-74.072355,HPD,Illegal Parking,Tortured,Subway,BRONX
1694183221,40.794541,-73.90379,TLC,Abandoned Vehicle,Controller,Residential,QUEENS
1695011374,40.641402,-73.753361,DHS,Homeless Person Assistance,Hotel Or Motel,Comercial,QUEENS
1709242857,40.578188,-74.238038,OOS,Plumbing,Outlet/Switch,Subway,STATEN ISLAND
1719156201,40.682687,-74.030367,TLC,Electric,Fence - None/Inadequate,Park/Playground,STATEN ISLAND
1695223826,40.702674,-74.029366,DCWP,Drug Activity,Window/Frame,Stairwell,BRONX
1700801091,40.678876,-74.101851,HPD,Indoor Air Quality,Smoking,3+ Family Apartment Building,BROOKLYN
1706922652,40.569882,-74.084679,HPD,Snow Or Ice,Recycling - Metal/Glass/Rigid Plastic,Common Area,STATEN ISLAND
1723005005,40.558611,-73.885126,OOS,Asbestos,Building Permit - None,Mixed Use,BROOKLYN
1726336258,40.645363,-74.032203,DPR,Abandoned Bike,Tortured,Club/Bar/Restaurant,BROOKLYN
1731803289,40.572269,-74.08086,DHS,Dumpster Complaint,Door,Residential Building,BRONX
1721145036,40.602788,-73.873408,TLC,Traffic Signal Condition,Loud Television,1-2 Family Dwelling,QUEENS
1683241642,40.644779,-73.99106,NYC311-PRD,Illegal Tree Damage,Underground,Curb,QUEENS
1717407237,40.658042,-73.995084,DOB,Taxi Complaint,Bulky Trash,Private School,BROOKLYN
1693913756,40.820479,-74.176561,OOS,General Construction/Plumbing,Garbage Or Litter,Residential Building,STATEN ISLAND
1698980050,40.724328,-74.059223,NYC311-PRD,Street Sign - Dangling,Site Setup Condition,3+ Family Apartment Building,BROOKLYN
1731980013,40.755579,-73.827686,DOHMH,Illegal Dumping,Janitor/Super,Stairwell,BRONX
1713523625,40.751651,-74.031001,DEP,Root/Sewer/Sidewalk Condition,Electrical Wiring Defective/Exposed,Business,QUEENS
1685163690,40.518584,-74.083934,DEP,Hazardous Materials,Manhole Overflow (Use Comments) (Sa1),Commercial Building,QUEENS
